recordIndex,blockingClock,anchor,need,worstValue,worstSuccessor,worstFirst,coveredUpTo,prefixAboveAnchor,uncoveredAtPrevCutoff,prevCutoff
0,112,152,4825,370,371,4825,111,31,31,0
1,193,257,56515,833,834,56515,192,62,1,4825
2,777,877,328002,878,879,328002,776,262,1,56515
3,4582,5327,582493,14490,14491,582493,4581,1475,1,328002
4,4605,9907,1779261,19116,19117,1779261,4604,328,1,582493
5,13508,18434,10201340,18953,18954,10201340,13507,3392,1,1779261
6,15846,18105,18394609,18106,18107,18394609,15845,5202,1,10201340
7,24261,82545,2789105306,82546,82547,2789105306,24260,31,1,18394609
8,53906,167475,inf,167476,167477,unseen,53905,283,1,2789105306
