reachLow,reachHigh,clockFloor,blockingClock,blockingAnchor,blockingSuccessor,note
0,4824,111,112,152,371,"coverage holds for every eligible clock in [112, clockFloor]"
4825,56514,192,193,257,834,"coverage holds for every eligible clock in [112, clockFloor]"
56515,328001,776,777,877,879,"coverage holds for every eligible clock in [112, clockFloor]"
328002,582492,4581,4582,5327,14491,"coverage holds for every eligible clock in [112, clockFloor]"
582493,1779260,4604,4605,9907,19117,"coverage holds for every eligible clock in [112, clockFloor]"
1779261,10201339,13507,13508,18434,18954,"coverage holds for every eligible clock in [112, clockFloor]"
10201340,18394608,15845,15846,18105,18107,"coverage holds for every eligible clock in [112, clockFloor]"
18394609,2789105305,24260,24261,82545,82547,"coverage holds for every eligible clock in [112, clockFloor]"
2789105306,>5e10 (unresolved),53905,53906,167475,167477,"coverage holds for every eligible clock in [112, clockFloor]"
