clockLow,clockHigh,eligibleClocks,meanPrefixAboveAnchor,pctNeedFiniteWithin5e10,medianFiniteNeed,maxFiniteNeed
112,1000,191,95,100.0,15811,328002
1000,3000,467,391,100.0,54613,326166
3000,10000,1455,1252,100.0,1779261,1779261
10000,30000,4079,3559,100.0,10201340.0,2789105306
30000,100000,16069,12889,64.42,18291065.0,2789105306
100000,300000,39024,29160,64.88,1609841075.0,2788955676
300000,1000000,152434,107030,21.29,101307728.0,39487334407
