K,"P(first[v]/v > K) for v in [1e6,1e7]",localTailExponentAlpha
1,0.820356,
3,0.433173,0.581
10,0.144031,0.915
30,0.049275,0.976
100,0.022779,0.641
300,0.014655,0.401
1000,0.010617,0.268
3000,0.007695,0.293
10000,0.006476,0.143
30000,0.006151,0.047
50000,0.006151,0.0
