protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
HOLDOUT={"S_count": 48, "length": 97, "words": 1225, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 49, "length": 99, "words": 1275, "P2_no_SAAS": 1, "P2_with_SAAS": 12, "violations": 0}
HOLDOUT={"S_count": 50, "length": 101, "words": 1326, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 51, "length": 103, "words": 1378, "P2_no_SAAS": 0, "P2_with_SAAS": 13, "violations": 0}
HOLDOUT={"S_count": 52, "length": 105, "words": 1431, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 53, "length": 107, "words": 1485, "P2_no_SAAS": 1, "P2_with_SAAS": 13, "violations": 0}
HOLDOUT={"S_count": 54, "length": 109, "words": 1540, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 55, "length": 111, "words": 1596, "P2_no_SAAS": 0, "P2_with_SAAS": 14, "violations": 0}
HOLDOUT={"S_count": 56, "length": 113, "words": 1653, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 57, "length": 115, "words": 1711, "P2_no_SAAS": 1, "P2_with_SAAS": 14, "violations": 0}
HOLDOUT={"S_count": 58, "length": 117, "words": 1770, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 59, "length": 119, "words": 1830, "P2_no_SAAS": 0, "P2_with_SAAS": 15, "violations": 0}
HOLDOUT={"S_count": 60, "length": 121, "words": 1891, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 61, "length": 123, "words": 1953, "P2_no_SAAS": 1, "P2_with_SAAS": 15, "violations": 0}
HOLDOUT={"S_count": 62, "length": 125, "words": 2016, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 63, "length": 127, "words": 2080, "P2_no_SAAS": 0, "P2_with_SAAS": 16, "violations": 0}
HOLDOUT={"S_count": 64, "length": 129, "words": 2145, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 65, "length": 131, "words": 2211, "P2_no_SAAS": 1, "P2_with_SAAS": 16, "violations": 0}
HOLDOUT={"S_count": 66, "length": 133, "words": 2278, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 67, "length": 135, "words": 2346, "P2_no_SAAS": 0, "P2_with_SAAS": 17, "violations": 0}
HOLDOUT={"S_count": 68, "length": 137, "words": 2415, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 69, "length": 139, "words": 2485, "P2_no_SAAS": 1, "P2_with_SAAS": 17, "violations": 0}
HOLDOUT={"S_count": 70, "length": 141, "words": 2556, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 71, "length": 143, "words": 2628, "P2_no_SAAS": 0, "P2_with_SAAS": 18, "violations": 0}
HOLDOUT={"S_count": 72, "length": 145, "words": 2701, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 73, "length": 147, "words": 2775, "P2_no_SAAS": 1, "P2_with_SAAS": 18, "violations": 0}
HOLDOUT={"S_count": 74, "length": 149, "words": 2850, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 75, "length": 151, "words": 2926, "P2_no_SAAS": 0, "P2_with_SAAS": 19, "violations": 0}
HOLDOUT={"S_count": 76, "length": 153, "words": 3003, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 77, "length": 155, "words": 3081, "P2_no_SAAS": 1, "P2_with_SAAS": 19, "violations": 0}
HOLDOUT={"S_count": 78, "length": 157, "words": 3160, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 79, "length": 159, "words": 3240, "P2_no_SAAS": 0, "P2_with_SAAS": 20, "violations": 0}
HOLDOUT={"S_count": 80, "length": 161, "words": 3321, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 81, "length": 163, "words": 3403, "P2_no_SAAS": 1, "P2_with_SAAS": 20, "violations": 0}
HOLDOUT={"S_count": 82, "length": 165, "words": 3486, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 83, "length": 167, "words": 3570, "P2_no_SAAS": 0, "P2_with_SAAS": 21, "violations": 0}
HOLDOUT={"S_count": 84, "length": 169, "words": 3655, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 85, "length": 171, "words": 3741, "P2_no_SAAS": 1, "P2_with_SAAS": 21, "violations": 0}
HOLDOUT={"S_count": 86, "length": 173, "words": 3828, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 87, "length": 175, "words": 3916, "P2_no_SAAS": 0, "P2_with_SAAS": 22, "violations": 0}
HOLDOUT={"S_count": 88, "length": 177, "words": 4005, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 89, "length": 179, "words": 4095, "P2_no_SAAS": 1, "P2_with_SAAS": 22, "violations": 0}
HOLDOUT={"S_count": 90, "length": 181, "words": 4186, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
