progress initial=10600 eligible=143 arcs=81 elapsed=58.8737
progress initial=10700 eligible=131 arcs=79 elapsed=59.4284
progress initial=10800 eligible=137 arcs=78 elapsed=59.9838
progress initial=10900 eligible=142 arcs=76 elapsed=60.5402
progress initial=11000 eligible=134 arcs=79 elapsed=61.0951
progress initial=11100 eligible=151 arcs=80 elapsed=61.6518
progress initial=11200 eligible=160 arcs=78 elapsed=62.206
progress initial=11300 eligible=152 arcs=80 elapsed=62.7625
progress initial=11400 eligible=144 arcs=78 elapsed=63.3185
progress initial=11500 eligible=174 arcs=79 elapsed=63.8752
progress initial=11600 eligible=119 arcs=81 elapsed=64.4295
progress initial=11700 eligible=114 arcs=81 elapsed=64.9852
progress initial=11800 eligible=184 arcs=79 elapsed=65.5391
progress initial=11900 eligible=86 arcs=80 elapsed=66.0966
progress initial=12000 eligible=209 arcs=80 elapsed=66.652
progress initial=12100 eligible=153 arcs=82 elapsed=67.2069
progress initial=12200 eligible=97 arcs=84 elapsed=67.7628
progress initial=12300 eligible=110 arcs=81 elapsed=68.3186
progress initial=12400 eligible=154 arcs=83 elapsed=68.8757
progress initial=12500 eligible=147 arcs=78 elapsed=69.429
progress initial=12600 eligible=113 arcs=81 elapsed=69.9845
progress initial=12700 eligible=176 arcs=85 elapsed=70.5419
progress initial=12800 eligible=152 arcs=85 elapsed=71.0986
progress initial=12900 eligible=174 arcs=85 elapsed=71.6553
progress initial=13000 eligible=108 arcs=84 elapsed=72.2106
progress initial=13100 eligible=104 arcs=86 elapsed=72.7659
progress initial=13200 eligible=174 arcs=85 elapsed=73.3253
progress initial=13300 eligible=148 arcs=86 elapsed=73.881
progress initial=13400 eligible=130 arcs=83 elapsed=74.4357
progress initial=13500 eligible=135 arcs=83 elapsed=74.997
progress initial=13600 eligible=156 arcs=83 elapsed=75.5528
progress initial=13700 eligible=131 arcs=83 elapsed=76.1102
progress initial=13800 eligible=157 arcs=87 elapsed=76.6664
progress initial=13900 eligible=141 arcs=91 elapsed=77.221
progress initial=14000 eligible=133 arcs=88 elapsed=77.7791
progress initial=14100 eligible=127 arcs=84 elapsed=78.3333
progress initial=14200 eligible=161 arcs=87 elapsed=78.8893
progress initial=14300 eligible=168 arcs=85 elapsed=79.4447
progress initial=14400 eligible=111 arcs=87 elapsed=79.9999
progress initial=14500 eligible=113 arcs=90 elapsed=80.5549
progress initial=14600 eligible=127 arcs=85 elapsed=81.1111
progress initial=14700 eligible=104 arcs=86 elapsed=81.6679
progress initial=14800 eligible=125 arcs=91 elapsed=82.2215
progress initial=14900 eligible=135 arcs=86 elapsed=82.776
progress initial=15000 eligible=164 arcs=92 elapsed=83.332
progress initial=15100 eligible=135 arcs=89 elapsed=83.8876
progress initial=15200 eligible=180 arcs=92 elapsed=84.442
progress initial=15300 eligible=129 arcs=91 elapsed=84.9991
progress initial=15400 eligible=92 arcs=87 elapsed=85.5534
progress initial=15500 eligible=128 arcs=87 elapsed=86.1094
progress initial=15600 eligible=146 arcs=88 elapsed=86.6659
progress initial=15700 eligible=172 arcs=94 elapsed=87.2209
progress initial=15800 eligible=124 arcs=89 elapsed=87.7747
progress initial=15900 eligible=138 arcs=93 elapsed=88.3303
progress initial=16000 eligible=136 arcs=91 elapsed=88.8877
progress initial=16100 eligible=93 arcs=91 elapsed=89.4451
progress initial=16200 eligible=138 arcs=92 elapsed=90.0011
progress initial=16300 eligible=139 arcs=93 elapsed=90.5545
progress initial=16400 eligible=163 arcs=92 elapsed=91.1108
progress initial=16500 eligible=154 arcs=89 elapsed=91.6657
progress initial=16600 eligible=183 arcs=92 elapsed=92.2198
progress initial=16700 eligible=138 arcs=88 elapsed=92.7759
progress initial=16800 eligible=146 arcs=96 elapsed=93.3316
progress initial=16900 eligible=133 arcs=99 elapsed=93.8888
progress initial=17000 eligible=103 arcs=93 elapsed=94.4435
progress initial=17100 eligible=166 arcs=93 elapsed=95.0003
progress initial=17200 eligible=113 arcs=96 elapsed=95.5532
progress initial=17300 eligible=140 arcs=94 elapsed=96.1126
progress initial=17400 eligible=180 arcs=92 elapsed=96.668
