i	value	birth	sign	arc	q	r
138	39375734669	11684552858	S	40	3	4322076095
139	39375734666	11684552864	S	40	3	4322076074
140	39375734663	11684552870	S	40	3	4322076053
141	39375734660	11684552876	S	40	3	4322076032
142	39375734657	11684552882	S	40	3	4322076011
143	39375734654	11684552888	S	40	3	4322075990
144	39375734651	11684552894	S	40	3	4322075969
145	39375734648	11684552900	S	40	3	4322075948
146	39375734645	11684552906	S	40	3	4322075927
147	39375734642	11684552912	S	40	3	4322075906
148	39375734639	11684552918	S	40	3	4322075885
149	39375734636	11684552924	S	40	3	4322075864
150	39375734633	11684552930	S	40	3	4322075843
151	39375734630	11684552936	S	40	3	4322075822
152	39375734627	11684552942	S	40	3	4322075801
153	39375734624	11684552948	S	40	3	4322075780
154	39375734621	11684552954	S	40	3	4322075759
155	39375734618	11684552960	S	40	3	4322075738
156	39375734615	11684552966	S	40	3	4322075717
157	39375734612	11684552972	S	40	3	4322075696
158	39375734609	11684552978	S	40	3	4322075675
159	39375734606	11684552984	S	40	3	4322075654
160	39375734603	11684552990	S	40	3	4322075633
161	39375734600	11684552996	S	40	3	4322075612
162	39375734597	11684553002	S	40	3	4322075591
163	39375734594	11684553008	S	40	3	4322075570
164	39375734591	11684553014	S	40	3	4322075549
165	39375734588	11684553020	S	40	3	4322075528
166	39375734585	11684553026	S	40	3	4322075507
167	39375734582	11684553032	S	40	3	4322075486
168	39375734579	11684553038	S	40	3	4322075465
169	39375734576	11684553044	S	40	3	4322075444
170	39375734573	11684553050	S	40	3	4322075423
171	39375734570	11684553056	S	40	3	4322075402
172	39375734567	11684553062	S	40	3	4322075381
173	39375734564	11684553068	S	40	3	4322075360
174	39375734561	11684553074	S	40	3	4322075339
175	39375734558	11684553080	S	40	3	4322075318
176	39375734555	11684553086	S	40	3	4322075297
177	39375734552	11684553092	S	40	3	4322075276
178	39375734549	11684553098	S	40	3	4322075255
179	39375734546	11684553104	S	40	3	4322075234
180	39375734543	11684553110	S	40	3	4322075213
181	39375734540	11684553116	S	40	3	4322075192
182	39375734537	11684553122	S	40	3	4322075171
183	39375734534	11684553128	S	40	3	4322075150
