i	value	birth	sign	arc	q	r
8658	39375709109	11684603978	S	40	3	4321897175
8659	39375709106	11684603984	S	40	3	4321897154
8660	39375709103	11684603990	S	40	3	4321897133
8661	39375709100	11684603996	S	40	3	4321897112
8662	39375709097	11684604002	S	40	3	4321897091
8663	39375709094	11684604008	S	40	3	4321897070
8664	39375709091	11684604014	S	40	3	4321897049
8665	39375709088	11684604020	S	40	3	4321897028
8666	39375709085	11684604026	S	40	3	4321897007
8667	39375709082	11684604032	S	40	3	4321896986
8668	39375709079	11684604038	S	40	3	4321896965
8669	39375709076	11684604044	S	40	3	4321896944
8670	39375709073	11684604050	S	40	3	4321896923
8671	39375709070	11684604056	S	40	3	4321896902
8672	39375709067	11684604062	S	40	3	4321896881
8673	39375709064	11684604068	S	40	3	4321896860
8674	39375709061	11684604074	S	40	3	4321896839
8675	39375709058	11684604080	S	40	3	4321896818
8676	39375709055	11684604086	S	40	3	4321896797
8677	39375709052	11684604092	S	40	3	4321896776
8678	39375709049	11684604098	S	40	3	4321896755
8679	39375709046	11684604104	S	40	3	4321896734
8680	39375709043	11684604110	S	40	3	4321896713
8681	39375709040	11684604116	S	40	3	4321896692
8682	39375709037	11684604122	S	40	3	4321896671
8683	39375709034	11684604128	S	40	3	4321896650
8684	39375709031	11684604134	S	40	3	4321896629
8685	39375709028	11684604140	S	40	3	4321896608
8686	39375709025	11684604146	S	40	3	4321896587
8687	39375709022	11684604152	S	40	3	4321896566
8688	39375709019	11684604158	S	40	3	4321896545
8689	39375709016	11684604164	S	40	3	4321896524
8690	39375709013	11684604170	S	40	3	4321896503
8691	39375709010	11684604176	S	40	3	4321896482
8692	39375709007	11684604182	S	40	3	4321896461
8693	39375709004	11684604188	S	40	3	4321896440
8694	39375709001	11684604194	S	40	3	4321896419
8695	39375708998	11684604200	S	40	3	4321896398
8696	39375708995	11684604206	S	40	3	4321896377
8697	39375708992	11684604212	S	40	3	4321896356
8698	39375708989	11684604218	S	40	3	4321896335
8699	39375708986	11684604224	S	40	3	4321896314
8700	39375708983	11684604230	S	40	3	4321896293
8701	39375708980	11684604236	S	40	3	4321896272
8702	39375708977	11684604242	S	40	3	4321896251
8703	39375708974	11684604248	S	40	3	4321896230
8704	39375708971	11684604254	S	40	3	4321896209
8705	39375708968	11684604260	S	40	3	4321896188
8706	39375708965	11684604266	S	40	3	4321896167
8707	39375708962	11684604272	S	40	3	4321896146
8708	39375708959	11684604278	S	40	3	4321896125
8709	39375708956	11684604284	S	40	3	4321896104
8710	39375708953	11684604290	S	40	3	4321896083
8711	39375708950	11684604296	S	40	3	4321896062
8712	39375708947	11684604302	S	40	3	4321896041
8713	39375708944	11684604308	S	40	3	4321896020
8714	39375708941	11684604314	S	40	3	4321895999
8715	39375708938	11684604320	S	40	3	4321895978
8716	39375708935	11684604326	S	40	3	4321895957
8717	39375708932	11684604332	S	40	3	4321895936
8718	39375708929	11684604338	S	40	3	4321895915
8719	39375708926	11684604344	S	40	3	4321895894
8720	39375708923	11684604350	S	40	3	4321895873
8721	39375708920	11684604356	S	40	3	4321895852
8722	39375708917	11684604362	S	40	3	4321895831
8723	39375708914	11684604368	S	40	3	4321895810
8724	39375708911	11684604374	S	40	3	4321895789
8725	39375708908	11684604380	S	40	3	4321895768
8726	39375708905	11684604386	S	40	3	4321895747
8727	39375708902	11684604392	S	40	3	4321895726
8728	39375708899	11684604398	S	40	3	4321895705
8729	39375708896	11684604404	S	40	3	4321895684
8730	39375708893	11684604410	S	40	3	4321895663
8731	39375708890	11684604416	S	40	3	4321895642
8732	39375708887	11684604422	S	40	3	4321895621
8733	39375708884	11684604428	S	40	3	4321895600
8734	39375708881	11684604434	S	40	3	4321895579
8735	39375708878	11684604440	S	40	3	4321895558
8736	39375708875	11684604446	S	40	3	4321895537
8737	39375708872	11684604452	S	40	3	4321895516
8738	39375708869	11684604458	S	40	3	4321895495
8739	39375708866	11684604464	S	40	3	4321895474
8740	39375708863	11684604470	S	40	3	4321895453
8741	39375708860	11684604476	S	40	3	4321895432
8742	39375708857	11684604482	S	40	3	4321895411
8743	39375708854	11684604488	S	40	3	4321895390
8744	39375708851	11684604494	S	40	3	4321895369
8745	39375708848	11684604500	S	40	3	4321895348
8746	39375708845	11684604506	S	40	3	4321895327
8747	39375708842	11684604512	S	40	3	4321895306
8748	39375708839	11684604518	S	40	3	4321895285
8749	39375708836	11684604524	S	40	3	4321895264
8750	39375708833	11684604530	S	40	3	4321895243
8751	39375708830	11684604536	S	40	3	4321895222
8752	39375708827	11684604542	S	40	3	4321895201
8753	39375708824	11684604548	S	40	3	4321895180
8754	39375708821	11684604554	S	40	3	4321895159
8755	39375708818	11684604560	S	40	3	4321895138
8756	39375708815	11684604566	S	40	3	4321895117
8757	39375708812	11684604572	S	40	3	4321895096
8758	39375708809	11684604578	S	40	3	4321895075
8759	39375708806	11684604584	S	40	3	4321895054
8760	39375708803	11684604590	S	40	3	4321895033
8761	39375708800	11684604596	S	40	3	4321895012
8762	39375708797	11684604602	S	40	3	4321894991
8763	39375708794	11684604608	S	40	3	4321894970
8764	39375708791	11684604614	S	40	3	4321894949
8765	39375708788	11684604620	S	40	3	4321894928
8766	39375708785	11684604626	S	40	3	4321894907
8767	39375708782	11684604632	S	40	3	4321894886
8768	39375708779	11684604638	S	40	3	4321894865
8769	39375708776	11684604644	S	40	3	4321894844
8770	39375708773	11684604650	S	40	3	4321894823
8771	39375708770	11684604656	S	40	3	4321894802
8772	39375708767	11684604662	S	40	3	4321894781
8773	39375708764	11684604668	S	40	3	4321894760
8774	39375708761	11684604674	S	40	3	4321894739
8775	39375708758	11684604680	S	40	3	4321894718
8776	39375708755	11684604686	S	40	3	4321894697
8777	39375708752	11684604692	S	40	3	4321894676
8778	39375708749	11684604698	S	40	3	4321894655
8779	39375708746	11684604704	S	40	3	4321894634
8780	39375708743	11684604710	S	40	3	4321894613
8781	39375708740	11684604716	S	40	3	4321894592
8782	39375708737	11684604722	S	40	3	4321894571
8783	39375708734	11684604728	S	40	3	4321894550
8784	39375708731	11684604734	S	40	3	4321894529
8785	39375708728	11684604740	S	40	3	4321894508
8786	39375708725	11684604746	S	40	3	4321894487
8787	39375708722	11684604752	S	40	3	4321894466
8788	39375708719	11684604758	S	40	3	4321894445
8789	39375708716	11684604764	S	40	3	4321894424
8790	39375708713	11684604770	S	40	3	4321894403
8791	39375708710	11684604776	S	40	3	4321894382
8792	39375708707	11684604782	S	40	3	4321894361
8793	39375708704	11684604788	S	40	3	4321894340
8794	39375708701	11684604794	S	40	3	4321894319
8795	39375708698	11684604800	S	40	3	4321894298
8796	39375708695	11684604806	S	40	3	4321894277
8797	39375708692	11684604812	S	40	3	4321894256
8798	39375708689	11684604818	S	40	3	4321894235
8799	39375708686	11684604824	S	40	3	4321894214
8800	39375708683	11684604830	S	40	3	4321894193
8801	39375708680	11684604836	S	40	3	4321894172
8802	39375708677	11684604842	S	40	3	4321894151
8803	39375708674	11684604848	S	40	3	4321894130
8804	39375708671	11684604854	S	40	3	4321894109
8805	39375708668	11684604860	S	40	3	4321894088
8806	39375708665	11684604866	S	40	3	4321894067
8807	39375708662	11684604872	S	40	3	4321894046
8808	39375708659	11684604878	S	40	3	4321894025
8809	39375708656	11684604884	S	40	3	4321894004
8810	39375708653	11684604890	S	40	3	4321893983
8811	39375708650	11684604896	S	40	3	4321893962
8812	39375708647	11684604902	S	40	3	4321893941
8813	39375708644	11684604908	S	40	3	4321893920
8814	39375708641	11684604914	S	40	3	4321893899
8815	39375708638	11684604920	S	40	3	4321893878
8816	39375708635	11684604926	S	40	3	4321893857
8817	39375708632	11684604932	S	40	3	4321893836
8818	39375708629	11684604938	S	40	3	4321893815
8819	39375708626	11684604944	S	40	3	4321893794
8820	39375708623	11684604950	S	40	3	4321893773
8821	39375708620	11684604956	S	40	3	4321893752
8822	39375708617	11684604962	S	40	3	4321893731
8823	39375708614	11684604968	S	40	3	4321893710
8824	39375708611	11684604974	S	40	3	4321893689
8825	39375708608	11684604980	S	40	3	4321893668
8826	39375708605	11684604986	S	40	3	4321893647
8827	39375708602	11684604992	S	40	3	4321893626
8828	39375708599	11684604998	S	40	3	4321893605
8829	39375708596	11684605004	S	40	3	4321893584
8830	39375708593	11684605010	S	40	3	4321893563
8831	39375708590	11684605016	S	40	3	4321893542
8832	39375708587	11684605022	S	40	3	4321893521
8833	39375708584	11684605028	S	40	3	4321893500
8834	39375708581	11684605034	S	40	3	4321893479
8835	39375708578	11684605040	S	40	3	4321893458
8836	39375708575	11684605046	S	40	3	4321893437
8837	39375708572	11684605052	S	40	3	4321893416
8838	39375708569	11684605058	S	40	3	4321893395
8839	39375708566	11684605064	S	40	3	4321893374
8840	39375708563	11684605070	S	40	3	4321893353
8841	39375708560	11684605076	S	40	3	4321893332
8842	39375708557	11684605082	S	40	3	4321893311
8843	39375708554	11684605088	S	40	3	4321893290
8844	39375708551	11684605094	S	40	3	4321893269
8845	39375708548	11684605100	S	40	3	4321893248
8846	39375708545	11684605106	S	40	3	4321893227
8847	39375708542	11684605112	S	40	3	4321893206
8848	39375708539	11684605118	S	40	3	4321893185
8849	39375708536	11684605124	S	40	3	4321893164
8850	39375708533	11684605130	S	40	3	4321893143
8851	39375708530	11684605136	S	40	3	4321893122
8852	39375708527	11684605142	S	40	3	4321893101
8853	39375708524	11684605148	S	40	3	4321893080
8854	39375708521	11684605154	S	40	3	4321893059
8855	39375708518	11684605160	S	40	3	4321893038
8856	39375708515	11684605166	S	40	3	4321893017
8857	39375708512	11684605172	S	40	3	4321892996
8858	39375708509	11684605178	S	40	3	4321892975
8859	39375708506	11684605184	S	40	3	4321892954
8860	39375708503	11684605190	S	40	3	4321892933
8861	39375708500	11684605196	S	40	3	4321892912
8862	39375708497	11684605202	S	40	3	4321892891
8863	39375708494	11684605208	S	40	3	4321892870
8864	39375708491	11684605214	S	40	3	4321892849
8865	39375708488	11684605220	S	40	3	4321892828
8866	39375708485	11684605226	S	40	3	4321892807
8867	39375708482	11684605232	S	40	3	4321892786
8868	39375708479	11684605238	S	40	3	4321892765
8869	39375708476	11684605244	S	40	3	4321892744
8870	39375708473	11684605250	S	40	3	4321892723
8871	39375708470	11684605256	S	40	3	4321892702
8872	39375708467	11684605262	S	40	3	4321892681
8873	39375708464	11684605268	S	40	3	4321892660
8874	39375708461	11684605274	S	40	3	4321892639
8875	39375708458	11684605280	S	40	3	4321892618
8876	39375708455	11684605286	S	40	3	4321892597
8877	39375708452	11684605292	S	40	3	4321892576
8878	39375708449	11684605298	S	40	3	4321892555
8879	39375708446	11684605304	S	40	3	4321892534
8880	39375708443	11684605310	S	40	3	4321892513
8881	39375708440	11684605316	S	40	3	4321892492
8882	39375708437	11684605322	S	40	3	4321892471
8883	39375708434	11684605328	S	40	3	4321892450
8884	39375708431	11684605334	S	40	3	4321892429
8885	39375708428	11684605340	S	40	3	4321892408
8886	39375708425	11684605346	S	40	3	4321892387
8887	39375708422	11684605352	S	40	3	4321892366
8888	39375708419	11684605358	S	40	3	4321892345
8889	39375708416	11684605364	S	40	3	4321892324
8890	39375708413	11684605370	S	40	3	4321892303
8891	39375708410	11684605376	S	40	3	4321892282
8892	39375708407	11684605382	S	40	3	4321892261
8893	39375708404	11684605388	S	40	3	4321892240
8894	39375708401	11684605394	S	40	3	4321892219
8895	39375708398	11684605400	S	40	3	4321892198
8896	39375708395	11684605406	S	40	3	4321892177
8897	39375708392	11684605412	S	40	3	4321892156
8898	39375708389	11684605418	S	40	3	4321892135
8899	39375708386	11684605424	S	40	3	4321892114
8900	39375708383	11684605430	S	40	3	4321892093
8901	39375708380	11684605436	S	40	3	4321892072
8902	39375708377	11684605442	S	40	3	4321892051
8903	39375708374	11684605448	S	40	3	4321892030
8904	39375708371	11684605454	S	40	3	4321892009
8905	39375708368	11684605460	S	40	3	4321891988
8906	39375708365	11684605466	S	40	3	4321891967
8907	39375708362	11684605472	S	40	3	4321891946
8908	39375708359	11684605478	S	40	3	4321891925
8909	39375708356	11684605484	S	40	3	4321891904
8910	39375708353	11684605490	S	40	3	4321891883
8911	39375708350	11684605496	S	40	3	4321891862
8912	39375708347	11684605502	S	40	3	4321891841
8913	39375708344	11684605508	S	40	3	4321891820
8914	39375708341	11684605514	S	40	3	4321891799
8915	39375708338	11684605520	S	40	3	4321891778
8916	39375708335	11684605526	S	40	3	4321891757
8917	39375708332	11684605532	S	40	3	4321891736
8918	39375708329	11684605538	S	40	3	4321891715
8919	39375708326	11684605544	S	40	3	4321891694
8920	39375708323	11684605550	S	40	3	4321891673
8921	39375708320	11684605556	S	40	3	4321891652
8922	39375708317	11684605562	S	40	3	4321891631
8923	39375708314	11684605568	S	40	3	4321891610
8924	39375708311	11684605574	S	40	3	4321891589
8925	39375708308	11684605580	S	40	3	4321891568
8926	39375708305	11684605586	S	40	3	4321891547
8927	39375708302	11684605592	S	40	3	4321891526
8928	39375708299	11684605598	S	40	3	4321891505
8929	39375708296	11684605604	S	40	3	4321891484
8930	39375708293	11684605610	S	40	3	4321891463
8931	39375708290	11684605616	S	40	3	4321891442
8932	39375708287	11684605622	S	40	3	4321891421
8933	39375708284	11684605628	S	40	3	4321891400
8934	39375708281	11684605634	S	40	3	4321891379
8935	39375708278	11684605640	S	40	3	4321891358
8936	39375708275	11684605646	S	40	3	4321891337
8937	39375708272	11684605652	S	40	3	4321891316
8938	39375708269	11684605658	S	40	3	4321891295
8939	39375708266	11684605664	S	40	3	4321891274
8940	39375708263	11684605670	S	40	3	4321891253
8941	39375708260	11684605676	S	40	3	4321891232
8942	39375708257	11684605682	S	40	3	4321891211
8943	39375708254	11684605688	S	40	3	4321891190
8944	39375708251	11684605694	S	40	3	4321891169
8945	39375708248	11684605700	S	40	3	4321891148
8946	39375708245	11684605706	S	40	3	4321891127
8947	39375708242	11684605712	S	40	3	4321891106
8948	39375708239	11684605718	S	40	3	4321891085
8949	39375708236	11684605724	S	40	3	4321891064
8950	39375708233	11684605730	S	40	3	4321891043
8951	39375708230	11684605736	S	40	3	4321891022
8952	39375708227	11684605742	S	40	3	4321891001
8953	39375708224	11684605748	S	40	3	4321890980
8954	39375708221	11684605754	S	40	3	4321890959
8955	39375708218	11684605760	S	40	3	4321890938
8956	39375708215	11684605766	S	40	3	4321890917
8957	39375708212	11684605772	S	40	3	4321890896
8958	39375708209	11684605778	S	40	3	4321890875
8959	39375708206	11684605784	S	40	3	4321890854
8960	39375708203	11684605790	S	40	3	4321890833
8961	39375708200	11684605796	S	40	3	4321890812
8962	39375708197	11684605802	S	40	3	4321890791
8963	39375708194	11684605808	S	40	3	4321890770
8964	39375708191	11684605814	S	40	3	4321890749
8965	39375708188	11684605820	S	40	3	4321890728
8966	39375708185	11684605826	S	40	3	4321890707
8967	39375708182	11684605832	S	40	3	4321890686
8968	39375708179	11684605838	S	40	3	4321890665
8969	39375708176	11684605844	S	40	3	4321890644
8970	39375708173	11684605850	S	40	3	4321890623
8971	39375708170	11684605856	S	40	3	4321890602
8972	39375708167	11684605862	S	40	3	4321890581
8973	39375708164	11684605868	S	40	3	4321890560
8974	39375708161	11684605874	S	40	3	4321890539
8975	39375708158	11684605880	S	40	3	4321890518
8976	39375708155	11684605886	S	40	3	4321890497
8977	39375708152	11684605892	S	40	3	4321890476
8978	39375708149	11684605898	S	40	3	4321890455
8979	39375708146	11684605904	S	40	3	4321890434
8980	39375708143	11684605910	S	40	3	4321890413
8981	39375708140	11684605916	S	40	3	4321890392
8982	39375708137	11684605922	S	40	3	4321890371
8983	39375708134	11684605928	S	40	3	4321890350
8984	39375708131	11684605934	S	40	3	4321890329
8985	39375708128	11684605940	S	40	3	4321890308
8986	39375708125	11684605946	S	40	3	4321890287
8987	39375708122	11684605952	S	40	3	4321890266
8988	39375708119	11684605958	S	40	3	4321890245
8989	39375708116	11684605964	S	40	3	4321890224
8990	39375708113	11684605970	S	40	3	4321890203
8991	39375708110	11684605976	S	40	3	4321890182
8992	39375708107	11684605982	S	40	3	4321890161
8993	39375708104	11684605988	S	40	3	4321890140
8994	39375708101	11684605994	S	40	3	4321890119
8995	39375708098	11684606000	S	40	3	4321890098
8996	39375708095	11684606006	S	40	3	4321890077
8997	39375708092	11684606012	S	40	3	4321890056
8998	39375708089	11684606018	S	40	3	4321890035
8999	39375708086	11684606024	S	40	3	4321890014
9000	39375708083	11684606030	S	40	3	4321889993
9001	39375708080	11684606036	S	40	3	4321889972
9002	39375708077	11684606042	S	40	3	4321889951
9003	39375708074	11684606048	S	40	3	4321889930
9004	39375708071	11684606054	S	40	3	4321889909
9005	39375708068	11684606060	S	40	3	4321889888
9006	39375708065	11684606066	S	40	3	4321889867
9007	39375708062	11684606072	S	40	3	4321889846
9008	39375708059	11684606078	S	40	3	4321889825
9009	39375708056	11684606084	S	40	3	4321889804
9010	39375708053	11684606090	S	40	3	4321889783
9011	39375708050	11684606096	S	40	3	4321889762
9012	39375708047	11684606102	S	40	3	4321889741
9013	39375708044	11684606108	S	40	3	4321889720
9014	39375708041	11684606114	S	40	3	4321889699
9015	39375708038	11684606120	S	40	3	4321889678
9016	39375708035	11684606126	S	40	3	4321889657
9017	39375708032	11684606132	S	40	3	4321889636
9018	39375708029	11684606138	S	40	3	4321889615
9019	39375708026	11684606144	S	40	3	4321889594
9020	39375708023	11684606150	S	40	3	4321889573
9021	39375708020	11684606156	S	40	3	4321889552
9022	39375708017	11684606162	S	40	3	4321889531
9023	39375708014	11684606168	S	40	3	4321889510
9024	39375708011	11684606174	S	40	3	4321889489
9025	39375708008	11684606180	S	40	3	4321889468
9026	39375708005	11684606186	S	40	3	4321889447
9027	39375708002	11684606192	S	40	3	4321889426
9028	39375707999	11684606198	S	40	3	4321889405
9029	39375707996	11684606204	S	40	3	4321889384
9030	39375707993	11684606210	S	40	3	4321889363
9031	39375707990	11684606216	S	40	3	4321889342
9032	39375707987	11684606222	S	40	3	4321889321
9033	39375707984	11684606228	S	40	3	4321889300
9034	39375707981	11684606234	S	40	3	4321889279
9035	39375707978	11684606240	S	40	3	4321889258
9036	39375707975	11684606246	S	40	3	4321889237
9037	39375707972	11684606252	S	40	3	4321889216
9038	39375707969	11684606258	S	40	3	4321889195
9039	39375707966	11684606264	S	40	3	4321889174
9040	39375707963	11684606270	S	40	3	4321889153
9041	39375707960	11684606276	S	40	3	4321889132
9042	39375707957	11684606282	S	40	3	4321889111
9043	39375707954	11684606288	S	40	3	4321889090
9044	39375707951	11684606294	S	40	3	4321889069
9045	39375707948	11684606300	S	40	3	4321889048
9046	39375707945	11684606306	S	40	3	4321889027
9047	39375707942	11684606312	S	40	3	4321889006
9048	39375707939	11684606318	S	40	3	4321888985
9049	39375707936	11684606324	S	40	3	4321888964
9050	39375707933	11684606330	S	40	3	4321888943
9051	39375707930	11684606336	S	40	3	4321888922
9052	39375707927	11684606342	S	40	3	4321888901
9053	39375707924	11684606348	S	40	3	4321888880
9054	39375707921	11684606354	S	40	3	4321888859
9055	39375707918	11684606360	S	40	3	4321888838
9056	39375707915	11684606366	S	40	3	4321888817
9057	39375707912	11684606372	S	40	3	4321888796
9058	39375707909	11684606378	S	40	3	4321888775
9059	39375707906	11684606384	S	40	3	4321888754
9060	39375707903	11684606390	S	40	3	4321888733
9061	39375707900	11684606396	S	40	3	4321888712
9062	39375707897	11684606402	S	40	3	4321888691
9063	39375707894	11684606408	S	40	3	4321888670
9064	39375707891	11684606414	S	40	3	4321888649
9065	39375707888	11684606420	S	40	3	4321888628
9066	39375707885	11684606426	S	40	3	4321888607
9067	39375707882	11684606432	S	40	3	4321888586
9068	39375707879	11684606438	S	40	3	4321888565
9069	39375707876	11684606444	S	40	3	4321888544
9070	39375707873	11684606450	S	40	3	4321888523
9071	39375707870	11684606456	S	40	3	4321888502
9072	39375707867	11684606462	S	40	3	4321888481
9073	39375707864	11684606468	S	40	3	4321888460
9074	39375707861	11684606474	S	40	3	4321888439
9075	39375707858	11684606480	S	40	3	4321888418
9076	39375707855	11684606486	S	40	3	4321888397
9077	39375707852	11684606492	S	40	3	4321888376
9078	39375707849	11684606498	S	40	3	4321888355
9079	39375707846	11684606504	S	40	3	4321888334
9080	39375707843	11684606510	S	40	3	4321888313
9081	39375707840	11684606516	S	40	3	4321888292
9082	39375707837	11684606522	S	40	3	4321888271
9083	39375707834	11684606528	S	40	3	4321888250
9084	39375707831	11684606534	S	40	3	4321888229
9085	39375707828	11684606540	S	40	3	4321888208
9086	39375707825	11684606546	S	40	3	4321888187
9087	39375707822	11684606552	S	40	3	4321888166
9088	39375707819	11684606558	S	40	3	4321888145
9089	39375707816	11684606564	S	40	3	4321888124
9090	39375707813	11684606570	S	40	3	4321888103
9091	39375707810	11684606576	S	40	3	4321888082
9092	39375707807	11684606582	S	40	3	4321888061
9093	39375707804	11684606588	S	40	3	4321888040
9094	39375707801	11684606594	S	40	3	4321888019
9095	39375707798	11684606600	S	40	3	4321887998
9096	39375707795	11684606606	S	40	3	4321887977
9097	39375707792	11684606612	S	40	3	4321887956
9098	39375707789	11684606618	S	40	3	4321887935
9099	39375707786	11684606624	S	40	3	4321887914
9100	39375707783	11684606630	S	40	3	4321887893
9101	39375707780	11684606636	S	40	3	4321887872
9102	39375707777	11684606642	S	40	3	4321887851
9103	39375707774	11684606648	S	40	3	4321887830
9104	39375707771	11684606654	S	40	3	4321887809
9105	39375707768	11684606660	S	40	3	4321887788
9106	39375707765	11684606666	S	40	3	4321887767
9107	39375707762	11684606672	S	40	3	4321887746
9108	39375707759	11684606678	S	40	3	4321887725
9109	39375707756	11684606684	S	40	3	4321887704
9110	39375707753	11684606690	S	40	3	4321887683
9111	39375707750	11684606696	S	40	3	4321887662
9112	39375707747	11684606702	S	40	3	4321887641
9113	39375707744	11684606708	S	40	3	4321887620
9114	39375707741	11684606714	S	40	3	4321887599
9115	39375707738	11684606720	S	40	3	4321887578
9116	39375707735	11684606726	S	40	3	4321887557
9117	39375707732	11684606732	S	40	3	4321887536
9118	39375707729	11684606738	S	40	3	4321887515
9119	39375707726	11684606744	S	40	3	4321887494
9120	39375707723	11684606750	S	40	3	4321887473
9121	39375707720	11684606756	S	40	3	4321887452
9122	39375707717	11684606762	S	40	3	4321887431
9123	39375707714	11684606768	S	40	3	4321887410
9124	39375707711	11684606774	S	40	3	4321887389
9125	39375707708	11684606780	S	40	3	4321887368
9126	39375707705	11684606786	S	40	3	4321887347
9127	39375707702	11684606792	S	40	3	4321887326
9128	39375707699	11684606798	S	40	3	4321887305
9129	39375707696	11684606804	S	40	3	4321887284
9130	39375707693	11684606810	S	40	3	4321887263
9131	39375707690	11684606816	S	40	3	4321887242
9132	39375707687	11684606822	S	40	3	4321887221
9133	39375707684	11684606828	S	40	3	4321887200
9134	39375707681	11684606834	S	40	3	4321887179
9135	39375707678	11684606840	S	40	3	4321887158
9136	39375707675	11684606846	S	40	3	4321887137
9137	39375707672	11684606852	S	40	3	4321887116
9138	39375707669	11684606858	S	40	3	4321887095
9139	39375707666	11684606864	S	40	3	4321887074
9140	39375707663	11684606870	S	40	3	4321887053
9141	39375707660	11684606876	S	40	3	4321887032
9142	39375707657	11684606882	S	40	3	4321887011
9143	39375707654	11684606888	S	40	3	4321886990
9144	39375707651	11684606894	S	40	3	4321886969
9145	39375707648	11684606900	S	40	3	4321886948
9146	39375707645	11684606906	S	40	3	4321886927
9147	39375707642	11684606912	S	40	3	4321886906
9148	39375707639	11684606918	S	40	3	4321886885
9149	39375707636	11684606924	S	40	3	4321886864
9150	39375707633	11684606930	S	40	3	4321886843
9151	39375707630	11684606936	S	40	3	4321886822
9152	39375707627	11684606942	S	40	3	4321886801
9153	39375707624	11684606948	S	40	3	4321886780
9154	39375707621	11684606954	S	40	3	4321886759
9155	39375707618	11684606960	S	40	3	4321886738
9156	39375707615	11684606966	S	40	3	4321886717
9157	39375707612	11684606972	S	40	3	4321886696
9158	39375707609	11684606978	S	40	3	4321886675
9159	39375707606	11684606984	S	40	3	4321886654
9160	39375707603	11684606990	S	40	3	4321886633
9161	39375707600	11684606996	S	40	3	4321886612
9162	39375707597	11684607002	S	40	3	4321886591
9163	39375707594	11684607008	S	40	3	4321886570
9164	39375707591	11684607014	S	40	3	4321886549
9165	39375707588	11684607020	S	40	3	4321886528
9166	39375707585	11684607026	S	40	3	4321886507
9167	39375707582	11684607032	S	40	3	4321886486
9168	39375707579	11684607038	S	40	3	4321886465
9169	39375707576	11684607044	S	40	3	4321886444
9170	39375707573	11684607050	S	40	3	4321886423
9171	39375707570	11684607056	S	40	3	4321886402
9172	39375707567	11684607062	S	40	3	4321886381
9173	39375707564	11684607068	S	40	3	4321886360
9174	39375707561	11684607074	S	40	3	4321886339
9175	39375707558	11684607080	S	40	3	4321886318
9176	39375707555	11684607086	S	40	3	4321886297
9177	39375707552	11684607092	S	40	3	4321886276
9178	39375707549	11684607098	S	40	3	4321886255
9179	39375707546	11684607104	S	40	3	4321886234
9180	39375707543	11684607110	S	40	3	4321886213
9181	39375707540	11684607116	S	40	3	4321886192
9182	39375707537	11684607122	S	40	3	4321886171
9183	39375707534	11684607128	S	40	3	4321886150
9184	39375707531	11684607134	S	40	3	4321886129
9185	39375707528	11684607140	S	40	3	4321886108
9186	39375707525	11684607146	S	40	3	4321886087
9187	39375707522	11684607152	S	40	3	4321886066
9188	39375707519	11684607158	S	40	3	4321886045
9189	39375707516	11684607164	S	40	3	4321886024
9190	39375707513	11684607170	S	40	3	4321886003
9191	39375707510	11684607176	S	40	3	4321885982
9192	39375707507	11684607182	S	40	3	4321885961
9193	39375707504	11684607188	S	40	3	4321885940
9194	39375707501	11684607194	S	40	3	4321885919
9195	39375707498	11684607200	S	40	3	4321885898
9196	39375707495	11684607206	S	40	3	4321885877
9197	39375707492	11684607212	S	40	3	4321885856
9198	39375707489	11684607218	S	40	3	4321885835
9199	39375707486	11684607224	S	40	3	4321885814
9200	39375707483	11684607230	S	40	3	4321885793
9201	39375707480	11684607236	S	40	3	4321885772
9202	39375707477	11684607242	S	40	3	4321885751
9203	39375707474	11684607248	S	40	3	4321885730
9204	39375707471	11684607254	S	40	3	4321885709
9205	39375707468	11684607260	S	40	3	4321885688
9206	39375707465	11684607266	S	40	3	4321885667
9207	39375707462	11684607272	S	40	3	4321885646
9208	39375707459	11684607278	S	40	3	4321885625
9209	39375707456	11684607284	S	40	3	4321885604
9210	39375707453	11684607290	S	40	3	4321885583
9211	39375707450	11684607296	S	40	3	4321885562
9212	39375707447	11684607302	S	40	3	4321885541
9213	39375707444	11684607308	S	40	3	4321885520
9214	39375707441	11684607314	S	40	3	4321885499
9215	39375707438	11684607320	S	40	3	4321885478
9216	39375707435	11684607326	S	40	3	4321885457
9217	39375707432	11684607332	S	40	3	4321885436
9218	39375707429	11684607338	S	40	3	4321885415
9219	39375707426	11684607344	S	40	3	4321885394
9220	39375707423	11684607350	S	40	3	4321885373
9221	39375707420	11684607356	S	40	3	4321885352
9222	39375707417	11684607362	S	40	3	4321885331
9223	39375707414	11684607368	S	40	3	4321885310
9224	39375707411	11684607374	S	40	3	4321885289
9225	39375707408	11684607380	S	40	3	4321885268
9226	39375707405	11684607386	S	40	3	4321885247
9227	39375707402	11684607392	S	40	3	4321885226
9228	39375707399	11684607398	S	40	3	4321885205
9229	39375707396	11684607404	S	40	3	4321885184
9230	39375707393	11684607410	S	40	3	4321885163
9231	39375707390	11684607416	S	40	3	4321885142
9232	39375707387	11684607422	S	40	3	4321885121
9233	39375707384	11684607428	S	40	3	4321885100
9234	39375707381	11684607434	S	40	3	4321885079
9235	39375707378	11684607440	S	40	3	4321885058
9236	39375707375	11684607446	S	40	3	4321885037
9237	39375707372	11684607452	S	40	3	4321885016
9238	39375707369	11684607458	S	40	3	4321884995
9239	39375707366	11684607464	S	40	3	4321884974
