protocol=H-20260910-36 min-P2 ssCount histogram canonical 10^7
P2=1315896 HIGH_SS=99934
SS={"ss":52,"count":1178,"lead0":1175,"lead1":1,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":53,"count":363,"lead0":361,"lead1":0,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":54,"count":52,"lead0":50,"lead1":2,"lead2":0,"lead_ge3":0,"run_viol_same_ss":0}
SS={"ss":55,"count":975,"lead0":972,"lead1":1,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":56,"count":1142,"lead0":1141,"lead1":0,"lead2":0,"lead_ge3":1,"run_viol_same_ss":0}
SS={"ss":57,"count":1818,"lead0":1815,"lead1":1,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":58,"count":643,"lead0":642,"lead1":0,"lead2":0,"lead_ge3":1,"run_viol_same_ss":0}
SS={"ss":59,"count":948,"lead0":947,"lead1":1,"lead2":0,"lead_ge3":0,"run_viol_same_ss":0}
SS={"ss":60,"count":1277,"lead0":1275,"lead1":1,"lead2":0,"lead_ge3":1,"run_viol_same_ss":0}
SS={"ss":61,"count":850,"lead0":846,"lead1":2,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":62,"count":1406,"lead0":1405,"lead1":1,"lead2":0,"lead_ge3":0,"run_viol_same_ss":0}
SS={"ss":63,"count":597,"lead0":594,"lead1":1,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":64,"count":100667,"lead0":100092,"lead1":543,"lead2":0,"lead_ge3":32,"run_viol_same_ss":20}
